246.98,63.214,173
246.97,63.213,173
246.97,63.211,173
246.97,63.211,173
246.97,63.209,173
246.97,63.21,173
246.97,63.214,173
246.04,63.227,173
246.98,63.218,173
246.97,63.218,173
246.97,63.214,173
246.97,63.21,173
246.98,63.206,173
246.97,63.207,173
246.97,63.21,173
246.97,63.215,173
246.97,63.217,173
246.97,63.217,173
246.97,63.217,173
246.97,63.216,173
246.97,63.213,173
30.777,326.14,165
31.368,334.04,205
34.482,339.99,211
34.983,347.97,209
35.551,351.1,209
44.071,357,208
57.083,365.05,213
74.055,368.04,217
89.078,370.02,218
100.04,378.16,218
107.12,385.99,218
116.11,389.03,220
131.08,388.14,222
149.07,394,223
160.15,395.05,222
174.14,399.08,220
188.07,403.02,222
198.1,406.12,223
211.13,410.07,215
222.04,418.15,214
223.11,426.04,212
229.06,428.04,212
233.14,424.03,211
237.11,418.06,213
242.1,407.99,215
249.06,393.99,213
255.1,387.04,210
262.13,383.02,212
267.1,378.01,214
272.12,373.05,214
276.15,366.07,213
280.11,362.02,211
284.1,359.04,212
286.18,360.98,211
288.67,370.03,203
289.15,381.94,175
289.19,393.93,184
289.2,399.99,181
289.18,399.99,166
289.18,405.92,188
289.17,409.02,192
289.17,410.01,183
289.2,412.03,181
289.2,416.01,168
77.958,214.93,189
289.19,408.02,171
82.945,215.98,187
85.931,215.9,190
85.897,215.95,189
91.956,216.89,189
95.891,215.02,191
91.915,214.93,190
89.895,214.99,189
89.939,211,191
89.91,206.02,193
92.937,203.05,194
91.967,200.95,197
89.019,200.98,198
91.02,202.97,198
93.009,207.97,198
96.026,210.95,197
98.045,209.95,196
99.984,210.98,194
31.834,502.96,184
105.04,200.93,192
111,197.9,192
160.01,543.09,200
196.05,527.12,212
223.92,532.16,197
136.06,190.05,195
134.98,198.03,201
127.04,204.01,199
289.23,449.04,163
286.72,453.02,204
207.89,575.95,208
274.15,452.09,201
195.92,542.25,208
277.06,431.1,202
284.61,418.05,205
287.73,405.07,195
289.19,396.02,176
199.05,506.3,191
123,203.91,189
135.92,204.92,188
143.92,201.93,188
156.86,208.9,185
162.26,208.02,191
176.16,208.03,192
200.91,219.9,188
210.27,217.89,188
236.16,225.98,190
276.97,243.9,185
289.22,235.8,166
188.06,247.09,175
211.04,243.07,174
246.97,63.221,173
255.01,235.04,174
246.97,63.217,173
137.01,505.07,175
